gene_id,gene_id,gene_type,gene_name
ENSMUSG00000102693.2,ENSMUSG00000102693.2,TEC,4933401J01Rik
ENSMUSG00000064842.3,ENSMUSG00000064842.3,snRNA,Gm26206
ENSMUSG00000051951.6,ENSMUSG00000051951.6,protein_coding,Xkr4
ENSMUSG00000102851.2,ENSMUSG00000102851.2,processed_pseudogene,Gm18956
ENSMUSG00000103377.2,ENSMUSG00000103377.2,TEC,Gm37180
ENSMUSG00000104017.2,ENSMUSG00000104017.2,TEC,Gm37363
ENSMUSG00000103025.2,ENSMUSG00000103025.2,TEC,Gm37686
ENSMUSG00000089699.2,ENSMUSG00000089699.2,lncRNA,Gm1992
ENSMUSG00000103201.2,ENSMUSG00000103201.2,TEC,Gm37329
ENSMUSG00000103147.2,ENSMUSG00000103147.2,processed_pseudogene,Gm7341
ENSMUSG00000103161.2,ENSMUSG00000103161.2,TEC,Gm38148
ENSMUSG00000102331.2,ENSMUSG00000102331.2,lncRNA,Gm19938
ENSMUSG00000102348.2,ENSMUSG00000102348.2,TEC,Gm10568
ENSMUSG00000102592.2,ENSMUSG00000102592.2,TEC,Gm38385
ENSMUSG00000088333.4,ENSMUSG00000088333.4,snRNA,Gm27396
ENSMUSG00000102343.2,ENSMUSG00000102343.2,lncRNA,Gm37381
ENSMUSG00000025900.14,ENSMUSG00000025900.14,protein_coding,Rp1
ENSMUSG00000102948.2,ENSMUSG00000102948.2,processed_pseudogene,Gm6101
ENSMUSG00000104123.2,ENSMUSG00000104123.2,TEC,Gm37483
ENSMUSG00000025902.14,ENSMUSG00000025902.14,protein_coding,Sox17
ENSMUSG00000104238.2,ENSMUSG00000104238.2,lncRNA,Gm37587
ENSMUSG00000102269.2,ENSMUSG00000102269.2,processed_pseudogene,Gm7357
ENSMUSG00000118917.1,ENSMUSG00000118917.1,snRNA,U6
ENSMUSG00000103003.2,ENSMUSG00000103003.2,processed_pseudogene,Gm38076
ENSMUSG00000104328.2,ENSMUSG00000104328.2,lncRNA,Gm37323
ENSMUSG00000102735.2,ENSMUSG00000102735.2,processed_pseudogene,Gm7369
ENSMUSG00000098104.2,ENSMUSG00000098104.2,processed_pseudogene,Gm6085
ENSMUSG00000102175.2,ENSMUSG00000102175.2,processed_pseudogene,Gm6119
ENSMUSG00002075947.1,ENSMUSG00002075947.1,snRNA,U6
ENSMUSG00000103265.2,ENSMUSG00000103265.2,processed_pseudogene,Gm2053
ENSMUSG00000103922.2,ENSMUSG00000103922.2,processed_pseudogene,Gm6123
ENSMUSG00000033845.14,ENSMUSG00000033845.14,protein_coding,Mrpl15
ENSMUSG00000102275.2,ENSMUSG00000102275.2,TEC,Gm37144
ENSMUSG00000025903.15,ENSMUSG00000025903.15,protein_coding,Lypla1
ENSMUSG00000104217.2,ENSMUSG00000104217.2,protein_coding,Gm37988
ENSMUSG00000033813.16,ENSMUSG00000033813.16,protein_coding,Tcea1
ENSMUSG00000062588.5,ENSMUSG00000062588.5,processed_pseudogene,Gm6104
ENSMUSG00000103280.2,ENSMUSG00000103280.2,TEC,Gm37277
ENSMUSG00000002459.18,ENSMUSG00000002459.18,protein_coding,Rgs20
ENSMUSG00000091305.2,ENSMUSG00000091305.2,processed_pseudogene,Gm17100
ENSMUSG00000102653.2,ENSMUSG00000102653.2,TEC,Gm37079
ENSMUSG00000085623.2,ENSMUSG00000085623.2,lncRNA,Gm16041
ENSMUSG00000091665.2,ENSMUSG00000091665.2,processed_pseudogene,Gm17101
ENSMUSG00000033793.13,ENSMUSG00000033793.13,protein_coding,Atp6v1h
ENSMUSG00000104352.2,ENSMUSG00000104352.2,processed_pseudogene,Gm7182
ENSMUSG00000104046.2,ENSMUSG00000104046.2,TEC,Gm37567
ENSMUSG00000102907.2,ENSMUSG00000102907.2,TEC,Gm38264
ENSMUSG00000025905.15,ENSMUSG00000025905.15,protein_coding,Oprk1
ENSMUSG00000103936.2,ENSMUSG00000103936.2,processed_pseudogene,Gm36965
ENSMUSG00002076544.1,ENSMUSG00002076544.1,miRNA,ENSMUSG00002076544
ENSMUSG00000103519.2,ENSMUSG00000103519.2,TEC,Gm37429
ENSMUSG00000033774.5,ENSMUSG00000033774.5,protein_coding,Npbwr1
ENSMUSG00000103090.2,ENSMUSG00000103090.2,processed_pseudogene,Gm19214
ENSMUSG00000025907.15,ENSMUSG00000025907.15,protein_coding,Rb1cc1
ENSMUSG00000090031.3,ENSMUSG00000090031.3,lncRNA,4732440D04Rik
ENSMUSG00000087247.4,ENSMUSG00000087247.4,protein_coding,Alkal1
ENSMUSG00000103355.2,ENSMUSG00000103355.2,processed_pseudogene,Gm2147
ENSMUSG00000102706.2,ENSMUSG00000102706.2,processed_pseudogene,Gm7417
ENSMUSG00000103845.2,ENSMUSG00000103845.2,processed_pseudogene,Gm19026
ENSMUSG00000033740.18,ENSMUSG00000033740.18,protein_coding,St18
ENSMUSG00000103329.3,ENSMUSG00000103329.3,TEC,Gm42492
ENSMUSG00000104385.2,ENSMUSG00000104385.2,processed_pseudogene,Gm7449
ENSMUSG00000102135.2,ENSMUSG00000102135.2,processed_pseudogene,Gm37108
ENSMUSG00000103282.2,ENSMUSG00000103282.2,processed_pseudogene,Gm37275
ENSMUSG00000102534.2,ENSMUSG00000102534.2,processed_pseudogene,Gm37225
ENSMUSG00000102213.2,ENSMUSG00000102213.2,processed_pseudogene,Gm37489
ENSMUSG00000103629.2,ENSMUSG00000103629.2,processed_pseudogene,Gm5694
ENSMUSG00000051285.18,ENSMUSG00000051285.18,protein_coding,Pcmtd1
ENSMUSG00000098201.2,ENSMUSG00000098201.2,processed_pseudogene,Gm26983
ENSMUSG00000103509.2,ENSMUSG00000103509.2,TEC,Gm38372
ENSMUSG00000048538.8,ENSMUSG00000048538.8,processed_pseudogene,Gm9826
ENSMUSG00000103709.2,ENSMUSG00000103709.2,processed_pseudogene,Nras-ps2
ENSMUSG00000077244.3,ENSMUSG00000077244.3,snoRNA,Gm23274
